Sensor,Value,Units
BMP180_Temperature,19.5,c
BMP180_Pressure,102.870,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.873,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.876,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.876,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.870,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.873,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.879,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.876,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.873,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.873,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.879,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.873,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.882,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.882,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.873,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.882,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.882,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.879,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.879,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.882,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.876,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.888,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.885,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.882,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.876,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.871,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.882,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.882,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.882,kPa
BMP180_Temperature,19.5,c
BMP180_Pressure,102.891,kPa
BMP180_Temperature,19.5,c
